,id,title_description_clean,release_date,Contains
0,1lv71eC74hMNEsiztfLXJW,"Banning phones in schools and parliament, citizens' assemblies, and American isolationism Should mobiles be banned from schools and the House of Commons? What is Labour grand plan for citizens; assemblies really about? Is there growing Russian influence in Britain?",2024-02-22,
1,2flN429EZxfsXUW61IkRQU,The Killing of Alexei Navalny What happened at the Munich Security Conference? Will Putin ever be held accountable? How will Trump fund his legal problems and a presidential campaign?,2024-02-21,Vladimir Putin
2,2flN429EZxfsXUW61IkRQU,The Killing of Alexei Navalny What happened at the Munich Security Conference? Will Putin ever be held accountable? How will Trump fund his legal problems and a presidential campaign?,2024-02-21,Donald Trump
3,60ESWEasCkuve26PMfE2Od,"Sunak by-election disaster, Reform UK gains momentum, and political crisis in Rochdale Will the rise of Reform UK be the downfall of the Conservatives? How consequential are Labour by-election victories? Who will win in Rochdale?",2024-02-16,Rishi Sunak
4,4uF1Zj74heNiYubS1Pc6k9,"Vladimir Putin strategy, Labour selection headache, and VAT on private schools Will Azhar Ali still stand as a Labour candidate in the Rochdale by-election? How revealing was Tucker Carlson interview with Vladimir Putin? Why do politicians seem to see apologising as a sign of weakness?",2024-02-15,Vladimir Putin
5,4uF1Zj74heNiYubS1Pc6k9,"Vladimir Putin strategy, Labour selection headache, and VAT on private schools Will Azhar Ali still stand as a Labour candidate in the Rochdale by-election? How revealing was Tucker Carlson interview with Vladimir Putin? Why do politicians seem to see apologising as a sign of weakness?",2024-02-15,Azhar Ali
6,4uF1Zj74heNiYubS1Pc6k9,"Vladimir Putin strategy, Labour selection headache, and VAT on private schools Will Azhar Ali still stand as a Labour candidate in the Rochdale by-election? How revealing was Tucker Carlson interview with Vladimir Putin? Why do politicians seem to see apologising as a sign of weakness?",2024-02-15,Tucker Carlson
7,22eR0pczULbRNT12DKVbtm,Could the Democrats replace Joe Biden? What next for Imran Khan? Why are young people deserting British conservatism? What do Trump Nato threats mean for Europe? Could Pakistan military have the final say in the election? Why are young people turning against the Conservatives in Britain?,2024-02-14,Joe Biden
8,22eR0pczULbRNT12DKVbtm,Could the Democrats replace Joe Biden? What next for Imran Khan? Why are young people deserting British conservatism? What do Trump Nato threats mean for Europe? Could Pakistan military have the final say in the election? Why are young people turning against the Conservatives in Britain?,2024-02-14,Imran Khan
9,22eR0pczULbRNT12DKVbtm,Could the Democrats replace Joe Biden? What next for Imran Khan? Why are young people deserting British conservatism? What do Trump Nato threats mean for Europe? Could Pakistan military have the final say in the election? Why are young people turning against the Conservatives in Britain?,2024-02-14,Donald Trump
