id,name,html_description,audio_preview_url,release_date,duration_ms,external_urls,ep_no,ep_title,description_clean,question_time,ep_title_clean,title_description_clean
1lv71eC74hMNEsiztfLXJW,"222. Question Time: Banning phones in schools and parliament, citizens' assemblies, and American isolationism","<p>Should mobiles be banned from schools and the House of Commons? What is Labour&#39;s grand plan for citizens&#39; assemblies really about? Is there growing Russian influence in Britain?</p><p><br /></p><p>Join Rory and Alastair as they answer all this and more in today&#39;s episode of The Rest Is Politics: Question Time.</p><p><br /></p><p>TRIP Plus: </p><p>Become a member of The Rest Is Politics Plus to support the podcast, receive our exclusive newsletter, enjoy ad-free listening to both TRIP and Leading, benefit from discount book prices on titles mentioned on the pod, join our Discord chatroom, and receive early access to live show tickets and Question Time episodes. </p><p>Just head to therestispolitics.com to sign up, or start a free trial today on Apple Podcasts: apple.co/therestispolitics.</p><p>Instagram:</p><p><a href=""https://www.instagram.com/restispolitics/"" rel=""nofollow"">&#64;restispolitics</a></p><p>Twitter:</p><p><a href=""https://twitter.com/RestIsPolitics"" rel=""nofollow"">&#64;RestIsPolitics</a></p><p>Email:</p><p><a href=""mailto:restispolitics&#64;gmail.com"" rel=""nofollow"">restispolitics&#64;gmail.com</a></p><p><br /></p><p>Producers: Dom Johnson &#43; Nicole Maslen</p><p>Exec Producers: Tony Pastor &#43; Jack Davenport</p><p> </p><p>Learn more about your ad choices. Visit <a href=""https://podcastchoices.com/adchoices"" rel=""nofollow"">podcastchoices.com/adchoices</a></p>",https://podz-content.spotifycdn.com/audio/clips/3ADhqXRU61v8DlF5xA4Opg/clip_0_60000.mp3,2024-02-22,1854484,https://open.spotify.com/episode/1lv71eC74hMNEsiztfLXJW,222.0,"Question Time: Banning phones in schools and parliament, citizens' assemblies, and American isolationism",Should mobiles be banned from schools and the House of Commons? What is Labour&#39;s grand plan for citizens&#39; assemblies really about? Is there growing Russian influence in Britain?,yes,"Banning phones in schools and parliament, citizens' assemblies, and American isolationism","Banning phones in schools and parliament, citizens' assemblies, and American isolationism Should mobiles be banned from schools and the House of Commons? What is Labour&#39;s grand plan for citizens&#39; assemblies really about? Is there growing Russian influence in Britain?"
2flN429EZxfsXUW61IkRQU,221. The Killing of Alexei Navalny,"<p>What happened at the Munich Security Conference? Will Putin ever be held accountable? How will Trump fund his legal problems and a presidential campaign?</p><p><br /></p><p>Join Rory and Alastair as they answer all these questions and more on today&#39;s episode of The Rest Is Politics.</p><p><br /></p><p>&#x1f30f; Get our exclusive NordVPN deal here ➼ <a href=""https://nordvpn.com/restispolitics"" rel=""nofollow"">https://nordvpn.com/restispolitics</a> It’s risk-free with Nord’s 30-day money-back guarantee! ✅</p><p><br /></p><p>TRIP Plus:</p><p>Become a member of The Rest Is Politics Plus to support the podcast, receive our exclusive newsletter, enjoy ad-free listening to both TRIP and Leading, benefit from discount book prices on titles mentioned on the pod, join our Discord chatroom, and receive early access to live show tickets and Question Time episodes.</p><p>Just head to therestispolitics.com to sign up, or start a free trial today on Apple Podcasts: apple.co/therestispolitics.</p><p><br /></p><p>Instagram:</p><p><a href=""https://www.instagram.com/restispolitics/"" rel=""nofollow"">&#64;restispolitics</a></p><p>Twitter:</p><p><a href=""https://twitter.com/RestIsPolitics"" rel=""nofollow"">&#64;RestIsPolitics</a></p><p>Email:</p><p><a href=""mailto:restispolitics&#64;gmail.com"" rel=""nofollow"">restispolitics&#64;gmail.com</a></p><p> </p><p>Learn more about your ad choices. Visit <a href=""https://podcastchoices.com/adchoices"" rel=""nofollow"">podcastchoices.com/adchoices</a></p>",https://podz-content.spotifycdn.com/audio/clips/7zEmPK20oUnEpf3bTlhauk/clip_1840590_1887094.mp3,2024-02-21,2884675,https://open.spotify.com/episode/2flN429EZxfsXUW61IkRQU,221.0,The Killing of Alexei Navalny,What happened at the Munich Security Conference? Will Putin ever be held accountable? How will Trump fund his legal problems and a presidential campaign?,no,The Killing of Alexei Navalny,The Killing of Alexei Navalny What happened at the Munich Security Conference? Will Putin ever be held accountable? How will Trump fund his legal problems and a presidential campaign?
60ESWEasCkuve26PMfE2Od,"220. Sunak's by-election disaster, Reform UK gains momentum, and political crisis in Rochdale","<p>Will the rise of Reform UK be the downfall of the Conservatives? How consequential are Labour&#39;s by-election victories? Who will win in Rochdale?</p><p><br /></p><p>Join Rory and Alastair for an impromptu Friday episode of The Rest Is Politics as they answer all these questions and more.</p><p><br /></p><p>Buy tickets now to the TRIP Election Tour now:</p><p><a href=""https://www.aegpresents.co.uk/event/the-rest-is-politics/"" rel=""nofollow"">https://www.aegpresents.co.uk/event/the-rest-is-politics/</a></p><p><br /></p><p>TRIP Plus:</p><p>Become a member of The Rest Is Politics Plus to support the podcast, receive our exclusive newsletter, enjoy ad-free listening to both TRIP and Leading, benefit from discount book prices on titles mentioned on the pod, join our Discord chatroom, and receive early access to live show tickets and Question Time episodes.</p><p>Just head to therestispolitics.com to sign up, or start a free trial today on Apple Podcasts: apple.co/therestispolitics.</p><p><br /></p><p>Instagram:</p><p><a href=""https://www.instagram.com/restispolitics/"" rel=""nofollow"">&#64;restispolitics</a></p><p>Twitter:</p><p><a href=""https://twitter.com/RestIsPolitics"" rel=""nofollow"">&#64;RestIsPolitics</a></p><p>Email:</p><p><a href=""mailto:restispolitics&#64;gmail.com"" rel=""nofollow"">restispolitics&#64;gmail.com</a></p><p> </p><p>Learn more about your ad choices. Visit <a href=""https://podcastchoices.com/adchoices"" rel=""nofollow"">podcastchoices.com/adchoices</a></p>",https://podz-content.spotifycdn.com/audio/clips/4ykfpruhYWJ6y6CuTWTXDW/clip_1065766_1129213.mp3,2024-02-16,1764649,https://open.spotify.com/episode/60ESWEasCkuve26PMfE2Od,220.0,"Sunak's by-election disaster, Reform UK gains momentum, and political crisis in Rochdale",Will the rise of Reform UK be the downfall of the Conservatives? How consequential are Labour&#39;s by-election victories? Who will win in Rochdale?,no,"Sunak's by-election disaster, Reform UK gains momentum, and political crisis in Rochdale","Sunak's by-election disaster, Reform UK gains momentum, and political crisis in Rochdale Will the rise of Reform UK be the downfall of the Conservatives? How consequential are Labour&#39;s by-election victories? Who will win in Rochdale?"
4uF1Zj74heNiYubS1Pc6k9,"219. Question Time: Vladimir Putin’s strategy, Labour’s selection headache, and VAT on private schools","<p>Will Azhar Ali still stand as a Labour candidate in the Rochdale by-election? How revealing was Tucker Carlson&#39;s interview with Vladimir Putin? Why do politicians seem to see apologising as a sign of weakness? </p><p><br /></p><p>Join Rory and Alastair as they answer all these questions and more in this week&#39;s Question Time. </p><p><br /></p><p>TRIP Plus:</p><p>Become a member of The Rest Is Politics Plus to support the podcast, receive our exclusive newsletter, enjoy ad-free listening to both TRIP and Leading, benefit from discount book prices on titles mentioned on the pod, join our Discord chatroom, and receive early access to live show tickets and Question Time episodes.</p><p>Just head to therestispolitics.com to sign up, or start a free trial today on Apple Podcasts: apple.co/therestispolitics.</p><p><br /></p><p>Instagram:</p><p><a href=""https://www.instagram.com/restispolitics/"" rel=""nofollow"">&#64;restispolitics</a></p><p>Twitter:</p><p><a href=""https://twitter.com/RestIsPolitics"" rel=""nofollow"">&#64;RestIsPolitics</a></p><p>Email:</p><p><a href=""mailto:restispolitics&#64;gmail.com"" rel=""nofollow"">restispolitics&#64;gmail.com</a></p><p>Producers: Dom Johnson &#43; Nicole Maslen</p><p>Exec Producers: Tony Pastor &#43; Jack Davenport</p><p> </p><p>Learn more about your ad choices. Visit <a href=""https://podcastchoices.com/adchoices"" rel=""nofollow"">podcastchoices.com/adchoices</a></p>",https://podz-content.spotifycdn.com/audio/clips/2gCt8lDlBD6TFUI6AlHCrM/clip_1282693_1335507.mp3,2024-02-15,2441795,https://open.spotify.com/episode/4uF1Zj74heNiYubS1Pc6k9,219.0,"Question Time: Vladimir Putin’s strategy, Labour’s selection headache, and VAT on private schools",Will Azhar Ali still stand as a Labour candidate in the Rochdale by-election? How revealing was Tucker Carlson&#39;s interview with Vladimir Putin? Why do politicians seem to see apologising as a sign of weakness?,yes,"Vladimir Putin’s strategy, Labour’s selection headache, and VAT on private schools","Vladimir Putin’s strategy, Labour’s selection headache, and VAT on private schools Will Azhar Ali still stand as a Labour candidate in the Rochdale by-election? How revealing was Tucker Carlson&#39;s interview with Vladimir Putin? Why do politicians seem to see apologising as a sign of weakness?"
22eR0pczULbRNT12DKVbtm,218. Could the Democrats replace Joe Biden? What’s next for Imran Khan? Why are young people deserting British conservatism?,"<p>What do Trump’s Nato threats mean for Europe? Could Pakistan’s military have the final say in the election? Why are young people turning against the Conservatives in Britain? </p><p><br /></p><p>Join Rory and Alastair as they answer all these questions and more on today&#39;s episode of The Rest Is Politics.</p><p><br /></p><p>TRIP Plus:</p><p>Become a member of The Rest Is Politics Plus to support the podcast, receive our exclusive newsletter, enjoy ad-free listening to both TRIP and Leading, benefit from discount book prices on titles mentioned on the pod, join our Discord chatroom, and receive early access to live show tickets and Question Time episodes.</p><p>Just head to therestispolitics.com to sign up, or start a free trial today on Apple Podcasts: apple.co/therestispolitics.</p><p><br /></p><p>Instagram:</p><p><a href=""https://www.instagram.com/restispolitics/"" rel=""nofollow"">&#64;restispolitics</a></p><p>Twitter:</p><p><a href=""https://twitter.com/RestIsPolitics"" rel=""nofollow"">&#64;RestIsPolitics</a></p><p>Email:</p><p><a href=""mailto:restispolitics&#64;gmail.com"" rel=""nofollow"">restispolitics&#64;gmail.com</a></p><p> </p><p>Learn more about your ad choices. Visit <a href=""https://podcastchoices.com/adchoices"" rel=""nofollow"">podcastchoices.com/adchoices</a></p>",https://podz-content.spotifycdn.com/audio/clips/2YJe98nd9m4MsCRKxZZEPF/clip_1522500_1570150.mp3,2024-02-14,3266403,https://open.spotify.com/episode/22eR0pczULbRNT12DKVbtm,218.0,Could the Democrats replace Joe Biden? What’s next for Imran Khan? Why are young people deserting British conservatism?,What do Trump’s Nato threats mean for Europe? Could Pakistan’s military have the final say in the election? Why are young people turning against the Conservatives in Britain?,no,Could the Democrats replace Joe Biden? What’s next for Imran Khan? Why are young people deserting British conservatism?,Could the Democrats replace Joe Biden? What’s next for Imran Khan? Why are young people deserting British conservatism? What do Trump’s Nato threats mean for Europe? Could Pakistan’s military have the final say in the election? Why are young people turning against the Conservatives in Britain?
6Y2HR1pyDilVqe5BkWHyTP,"217. Question Time: How to cover Israel-Gaza, Labour’s £28bn green investment, and Taylor Swift vs Donald Trump","<p>Why is Labour rolling back its pledge on green investment? What does Biden’s sanction against Israeli settlers mean in reality? Who is our one listener in Tuvalu?</p><p><br /></p><p>Rory and Alastair answer all these questions and more in this week&#39;s Question Time.</p><p><br /></p><p>Instagram:</p><p><a href=""https://www.instagram.com/restispolitics/"" rel=""nofollow"">&#64;restispolitics</a></p><p>Twitter:</p><p><a href=""https://twitter.com/RestIsPolitics"" rel=""nofollow"">&#64;RestIsPolitics</a></p><p>Email:</p><p><a href=""mailto:restispolitics&#64;gmail.com"" rel=""nofollow"">restispolitics&#64;gmail.com</a></p><p><br /></p><p>Producers: Dom Johnson &#43; Nicole Maslen</p><p>Exec Producers: Tony Pastor &#43; Jack Davenport</p><p> </p><p>Learn more about your ad choices. Visit <a href=""https://podcastchoices.com/adchoices"" rel=""nofollow"">podcastchoices.com/adchoices</a></p>",https://podz-content.spotifycdn.com/audio/clips/4hyOQl1vhgC5SvgMfKODjb/clip_594150_638500.mp3,2024-02-08,1918171,https://open.spotify.com/episode/6Y2HR1pyDilVqe5BkWHyTP,217.0,"Question Time: How to cover Israel-Gaza, Labour’s £28bn green investment, and Taylor Swift vs Donald Trump",Why is Labour rolling back its pledge on green investment? What does Biden’s sanction against Israeli settlers mean in reality? Who is our one listener in Tuvalu?,yes,"How to cover Israel-Gaza, Labour’s £28bn green investment, and Taylor Swift vs Donald Trump","How to cover Israel-Gaza, Labour’s £28bn green investment, and Taylor Swift vs Donald Trump Why is Labour rolling back its pledge on green investment? What does Biden’s sanction against Israeli settlers mean in reality? Who is our one listener in Tuvalu?"
2s0Z7YSBiPg9a9imyXOcq7,"216. King Charles, Sunak’s £1000 bet, and the future of North Korea","<p>How was a deal finally agreed to get power sharing back in Northern Ireland? Is Rishi Sunak focusing too much on his media appearances? Why has Kim Jong Un said unification with the South is no longer possible?</p><p><br /></p><p>Join Rory and Alastair as they answer all these questions and more on today&#39;s episode of The Rest Is Politics.</p><p><br /></p><p>&#x1f30f; Get our exclusive NordVPN deal here ➼ <a href=""https://nordvpn.com/restispolitics"" rel=""nofollow"">https://nordvpn.com/restispolitics</a> It’s risk-free with Nord’s 30-day money-back guarantee! ✅</p><p><br /></p><p>TRIP Plus:</p><p>Become a member of The Rest Is Politics Plus to support the podcast, receive our exclusive newsletter, enjoy ad-free listening to both TRIP and Leading, benefit from discount book prices on titles mentioned on the pod, join our Discord chatroom, and receive early access to live show tickets and Question Time episodes.</p><p>Just head to therestispolitics.com to sign up, or start a free trial today on Apple Podcasts: apple.co/therestispolitics.</p><p><br /></p><p>Instagram:</p><p><a href=""https://www.instagram.com/restispolitics/"" rel=""nofollow"">&#64;restispolitics</a></p><p>Twitter:</p><p><a href=""https://twitter.com/RestIsPolitics"" rel=""nofollow"">&#64;RestIsPolitics</a></p><p>Email:</p><p><a href=""mailto:restispolitics&#64;gmail.com"" rel=""nofollow"">restispolitics&#64;gmail.com</a></p><p> </p><p>Learn more about your ad choices. Visit <a href=""https://podcastchoices.com/adchoices"" rel=""nofollow"">podcastchoices.com/adchoices</a></p>",https://podz-content.spotifycdn.com/audio/clips/40xKpXqiG6bKuNMua9VdCg/clip_2364102_2430522.mp3,2024-02-07,3116042,https://open.spotify.com/episode/2s0Z7YSBiPg9a9imyXOcq7,216.0,"King Charles, Sunak’s £1000 bet, and the future of North Korea",How was a deal finally agreed to get power sharing back in Northern Ireland? Is Rishi Sunak focusing too much on his media appearances? Why has Kim Jong Un said unification with the South is no longer possible?,no,"King Charles, Sunak’s £1000 bet, and the future of North Korea","King Charles, Sunak’s £1000 bet, and the future of North Korea How was a deal finally agreed to get power sharing back in Northern Ireland? Is Rishi Sunak focusing too much on his media appearances? Why has Kim Jong Un said unification with the South is no longer possible?"
4rijWhlkC9l1yPtSSSe5KM,"215. Question Time: An election in May, combatting homelessness, and investigating think tanks","<p>How are anonymous donors keeping Britain’s political parties afloat? Should the public know where think tanks get their funding from? How worried should we be about voter IDs?</p><p>Join Rory and Alastair as they answer all these questions and more on today&#39;s episode of Question Time.</p><p>&#xfeff;</p><p>TRIP Plus:</p><p>Become a member of The Rest Is Politics Plus to support the podcast, receive our exclusive newsletter, enjoy ad-free listening to both TRIP and Leading, benefit from discount book prices on titles mentioned on the pod, join our Discord chatroom, and receive early access to live show tickets and Question Time episodes.</p><p>Just head to therestispolitics.com to sign up, or start a free trial today on Apple Podcasts: apple.co/therestispolitics.</p><p><br /></p><p>Instagram:</p><p><a href=""https://www.instagram.com/restispolitics/"" rel=""nofollow"">&#64;restispolitics</a></p><p>Twitter:</p><p><a href=""https://twitter.com/RestIsPolitics"" rel=""nofollow"">&#64;RestIsPolitics</a></p><p>Email:</p><p><a href=""mailto:restispolitics&#64;gmail.com"" rel=""nofollow"">restispolitics&#64;gmail.com</a></p><p> </p><p>Learn more about your ad choices. Visit <a href=""https://podcastchoices.com/adchoices"" rel=""nofollow"">podcastchoices.com/adchoices</a></p>",https://podz-content.spotifycdn.com/audio/clips/7iDFAbO57zzplwAzaGQKKF/clip_1561641_1619290.mp3,2024-02-01,2380930,https://open.spotify.com/episode/4rijWhlkC9l1yPtSSSe5KM,215.0,"Question Time: An election in May, combatting homelessness, and investigating think tanks","How are anonymous donors keeping Britain’s political parties afloat? Should the public know where think tanks get their funding from? How worried should we be about voter IDs?Join Rory and Alastair as they answer all these questions and more on today&#39;s episode of Question Time.&#xfeff;TRIP Plus:Become a member of The Rest Is Politics Plus to support the podcast, receive our exclusive newsletter, enjoy ad-free listening to both TRIP and Leading, benefit from discount book prices on titles mentioned on the pod, join our Discord chatroom, and receive early access to live show tickets and Question Time episodes.Just head to therestispolitics.com to sign up, or start a free trial today on Apple Podcasts: apple.co/therestispolitics.",yes,"An election in May, combatting homelessness, and investigating think tanks","An election in May, combatting homelessness, and investigating think tanks How are anonymous donors keeping Britain’s political parties afloat? Should the public know where think tanks get their funding from? How worried should we be about voter IDs?Join Rory and Alastair as they answer all these questions and more on today&#39;s episode of Question Time.&#xfeff;TRIP Plus:Become a member of The Rest Is Politics Plus to support the podcast, receive our exclusive newsletter, enjoy ad-free listening to both TRIP and Leading, benefit from discount book prices on titles mentioned on the pod, join our Discord chatroom, and receive early access to live show tickets and Question Time episodes.Just head to therestispolitics.com to sign up, or start a free trial today on Apple Podcasts: apple.co/therestispolitics."
22F9DeqDuciCOLANbIvBe3,"214. Israel in court, attacks on American soldiers, and the problem with polling","<p>What is the significance of the I.C.J. Ruling on Israel? How much control does Iran really have over its proxies? Should Labour brace itself for a sharp narrowing of the polls?</p><p><br /></p><p>Join Rory and Alastair as they answer all this and more on today&#39;s episode of The Rest Is Politics.</p><p><br /></p><p>TRIP Plus:</p><p>Become a member of The Rest Is Politics Plus to support the podcast, receive our exclusive newsletter, enjoy ad-free listening to both TRIP and Leading, benefit from discount book prices on titles mentioned on the pod, join our Discord chatroom, and receive early access to live show tickets and Question Time episodes.</p><p>Just head to therestispolitics.com to sign up, or start a free trial today on Apple Podcasts: apple.co/therestispolitics.</p><p><br /></p><p>Instagram:</p><p><a href=""https://www.instagram.com/restispolitics/"" rel=""nofollow"">&#64;restispolitics</a></p><p>Twitter:</p><p><a href=""https://twitter.com/RestIsPolitics"" rel=""nofollow"">&#64;RestIsPolitics</a></p><p>Email:</p><p><a href=""mailto:restispolitics&#64;gmail.com"" rel=""nofollow"">restispolitics&#64;gmail.com</a></p><p> </p><p>Learn more about your ad choices. Visit <a href=""https://podcastchoices.com/adchoices"" rel=""nofollow"">podcastchoices.com/adchoices</a></p>",https://podz-content.spotifycdn.com/audio/clips/2IgJbrGWj9zlhRoIiqB581/clip_761500_814100.mp3,2024-01-31,3179546,https://open.spotify.com/episode/22F9DeqDuciCOLANbIvBe3,214.0,"Israel in court, attacks on American soldiers, and the problem with polling",What is the significance of the I.C.J. Ruling on Israel? How much control does Iran really have over its proxies? Should Labour brace itself for a sharp narrowing of the polls?,no,"Israel in court, attacks on American soldiers, and the problem with polling","Israel in court, attacks on American soldiers, and the problem with polling What is the significance of the I.C.J. Ruling on Israel? How much control does Iran really have over its proxies? Should Labour brace itself for a sharp narrowing of the polls?"
4nRyqQEZi2x56yzl7YoVvh,"213. Question Time: Standing up to Netanyahu, why Starmer would work with Trump, and the differences between Sunni and Shia","<p>Will the West come to terms with the idea that Netanyahu is not interested in a two state solution? Is &#39;populism&#39; patronising? Would Starmer tread a fine line or stand up to Donald Trump?</p><p><br /></p><p>Join Rory and Alastair as they answer all these questions and more on today&#39;s episode of Question Time.</p><p><br /></p><p>&#x1f30f; Get our exclusive NordVPN deal here ➼ <a href=""https://nordvpn.com/restispolitics"" rel=""nofollow"">https://nordvpn.com/restispolitics</a> It’s risk-free with Nord’s 30-day money-back guarantee! ✅</p><p><br /></p><p><a href=""https://www.poleconuk.com/trip"" rel=""nofollow"">Click here to buy tickets to the PolEconUK conference for A Level politics students on 11th March </a><a href=""https://cms.megaphone.fm/organizations/88b50b64-fb9f-11e7-bd58-1743cd86ef27/podcasts/210911d2-01fc-11ed-ae3f-fff33860d23a/episodes/14853dda-ba35-11ee-9e57-2b9a52d5256d/PolEconUK.org/TRIP"" rel=""nofollow"">2024.</a> Please be advised that this is a strictly educational event and only teachers can book, on behalf of their students so teachers, get on with it and students, tell your teachers about it!</p><p><br /></p><p>TRIP Plus:</p><p>Become a member of The Rest Is Politics Plus to support the podcast, receive our exclusive newsletter, enjoy ad-free listening to both TRIP and Leading, benefit from discount book prices on titles mentioned on the pod, join our Discord chatroom, and receive early access to live show tickets and Question Time episodes.</p><p>Just head to therestispolitics.com to sign up, or start a free trial today on Apple Podcasts: apple.co/therestispolitics.</p><p><br /></p><p>Instagram:</p><p><a href=""https://www.instagram.com/restispolitics/"" rel=""nofollow"">&#64;restispolitics</a></p><p>Twitter:</p><p><a href=""https://twitter.com/RestIsPolitics"" rel=""nofollow"">&#64;RestIsPolitics</a></p><p>Email:</p><p><a href=""mailto:restispolitics&#64;gmail.com"" rel=""nofollow"">restispolitics&#64;gmail.com</a></p><p><br /></p><p>Producers: Dom Johnson &#43; Nicole Maslen</p><p>Exec Producers: Tony Pastor &#43; Jack Davenport</p><p> </p><p>Learn more about your ad choices. Visit <a href=""https://podcastchoices.com/adchoices"" rel=""nofollow"">podcastchoices.com/adchoices</a></p>",https://podz-content.spotifycdn.com/audio/clips/1L9t4pHz3CbQmrD8sbpucL/clip_1900000_1960150.mp3,2024-01-25,2136581,https://open.spotify.com/episode/4nRyqQEZi2x56yzl7YoVvh,213.0,"Question Time: Standing up to Netanyahu, why Starmer would work with Trump, and the differences between Sunni and Shia",Will the West come to terms with the idea that Netanyahu is not interested in a two state solution? Is &#39;populism&#39; patronising? Would Starmer tread a fine line or stand up to Donald Trump?,yes,"Standing up to Netanyahu, why Starmer would work with Trump, and the differences between Sunni and Shia","Standing up to Netanyahu, why Starmer would work with Trump, and the differences between Sunni and Shia Will the West come to terms with the idea that Netanyahu is not interested in a two state solution? Is &#39;populism&#39; patronising? Would Starmer tread a fine line or stand up to Donald Trump?"
