,id,title_description_clean,release_date,Contains
0,1lv71eC74hMNEsiztfLXJW,"Banning phones in schools and parliament, citizens' assemblies, and American isolationism Should mobiles be banned from schools and the House of Commons? What is Labour grand plan for citizens; assemblies really about? Is there growing Russian influence in Britain?",22/02/2024,House of Commons
1,1lv71eC74hMNEsiztfLXJW,"Banning phones in schools and parliament, citizens' assemblies, and American isolationism Should mobiles be banned from schools and the House of Commons? What is Labour grand plan for citizens; assemblies really about? Is there growing Russian influence in Britain?",22/02/2024,Labour Party
2,1lv71eC74hMNEsiztfLXJW,"Banning phones in schools and parliament, citizens' assemblies, and American isolationism Should mobiles be banned from schools and the House of Commons? What is Labour grand plan for citizens; assemblies really about? Is there growing Russian influence in Britain?",22/02/2024,Parliament
3,2flN429EZxfsXUW61IkRQU,The Killing of Alexei Navalny What happened at the Munich Security Conference? Will Putin ever be held accountable? How will Trump fund his legal problems and a presidential campaign?,21/02/2024,
4,60ESWEasCkuve26PMfE2Od,"Sunak by-election disaster, Reform UK gains momentum, and political crisis in Rochdale Will the rise of Reform UK be the downfall of the Conservatives? How consequential are Labour by-election victories? Who will win in Rochdale?",16/02/2024,Labour Party
5,4uF1Zj74heNiYubS1Pc6k9,"Vladimir Putin strategy, Labour selection headache, and VAT on private schools Will Azhar Ali still stand as a Labour candidate in the Rochdale by-election? How revealing was Tucker Carlson interview with Vladimir Putin? Why do politicians seem to see apologising as a sign of weakness?",15/02/2024,Labour Party
6,22eR0pczULbRNT12DKVbtm,Could the Democrats replace Joe Biden? What next for Imran Khan? Why are young people deserting British conservatism? What do Trump Nato threats mean for Europe? Could Pakistan military have the final say in the election? Why are young people turning against the Conservatives in Britain?,14/02/2024,NATO
7,6Y2HR1pyDilVqe5BkWHyTP,"How to cover Israel-Gaza, Labour £28bn green investment, and Taylor Swift vs Donald Trump Why is Labour rolling back its pledge on green investment? What does Biden sanction against Israeli settlers mean in reality? Who is our one listener in Tuvalu?",08/02/2024,Labour Party
8,2s0Z7YSBiPg9a9imyXOcq7,"King Charles, Sunak £1000 bet, and the future of North Korea How was a deal finally agreed to get power sharing back in Northern Ireland? Is Rishi Sunak focusing too much on his media appearances? Why has Kim Jong Un said unification with the South is no longer possible?",07/02/2024,
9,4rijWhlkC9l1yPtSSSe5KM,"An election in May, combatting homelessness, and investigating think tanks How are anonymous donors keeping Britain political parties afloat? Should the public know where think tanks get their funding from? How worried should we be about voter IDs? and Alastair as they answer all these questions and more on today episode of Question Time.&#xfeff;TRIP Plus:Become a member of The Rest Is Politics Plus to support the podcast, receive our exclusive newsletter, enjoy ad-free listening to both TRIP and Leading, benefit from discount book prices on titles mentioned on the pod, join our Discord chatroom, and receive early access to live show tickets and Question Time episodes.Just head to therestispolitics.com to sign up, or start a free trial today on Apple Podcasts: apple.co/therestispolitics.",01/02/2024,
